3 4 5 6 7
8 4 5 6 7
8 9 5 6 7
8 9 10 6 7
8 9 10 11 7
8 9 10 11 12
8 9 10 11 12
13 4 5 6 7
8 9 5 6 7
8 9 10 6 7
8 9 10 11 7
8 9 10 11 12
8 9 10 11 12
13 9 10 11 12
13 14 5 6 7
8 9 10 6 7
8 9 10 11 7
8 9 10 11 12
8 9 10 11 12
13 9 10 11 12
13 14 10 11 12
13 14 15 6 7
8 9 10 11 7
8 9 10 11 12
8 9 10 11 12
13 9 10 11 12
13 14 10 11 12
13 14 15 11 12
13 14 15 16 7
8 9 10 11 12
8 9 10 11 12
13 9 10 11 12
13 14 10 11 12
13 14 15 11 12
13 14 15 16 12
13 14 15 16 17
8 9 10 11 12
13 9 10 11 12
13 14 10 11 12
13 14 15 11 12
13 14 15 16 12
13 14 15 16 17
13 14 15 16 17
18
